timestamp,temperature,humidity,temp_rate,humi_ratepredicted_label,real_label,confidence_score,prob_bg,prob_nuisance,prob_fire,inference_time_ms,memory_usage_bytes
2026-05-15 20:26:27,29.00,76.90,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:29,29.00,76.80,0.0000,-0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:31,29.00,76.80,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:33,28.90,77.20,-0.0500,0.1999,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:35,28.90,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:37,28.90,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:39,29.10,76.70,0.1000,-0.2500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:41,29.10,76.70,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:43,28.90,76.60,-0.1000,-0.0500,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:45,28.90,76.60,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:47,28.90,76.60,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:49,29.00,77.40,0.0500,0.3998,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:51,29.00,77.40,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:53,28.90,77.20,-0.0500,-0.1000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:55,28.90,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
2026-05-15 20:26:57,28.90,77.20,0.0000,0.0000,0,,0.9054,0.9054,0.0258,0.0688,0.17,912
